timestamp,source_ip,destination_ip,event_type,user,status,port,bytes,hour,day_of_week,is_weekend,is_night,status_success,status_failed
2025-11-23 00:26:56.539489,192.168.1.36,192.168.1.42,write,user3,failed,443,8103,0,6,1,1,0,1
2025-11-23 00:36:56.539489,192.168.1.34,192.168.1.10,write,admin,success,22,7697,0,6,1,1,1,0
2025-11-23 00:46:56.539489,192.168.1.16,192.168.1.12,login,guest,success,3306,802,0,6,1,1,1,0
2025-11-23 00:46:56.539489,192.168.1.25,192.168.1.34,access,guest,failed,21,6043,0,6,1,1,0,1
2025-11-23 00:47:56.539489,192.168.1.43,192.168.1.10,read,admin,success,443,7284,0,6,1,1,1,0
2025-11-23 00:50:56.539489,192.168.1.49,192.168.1.29,write,admin,failed,443,9366,0,6,1,1,0,1
2025-11-23 01:36:56.539489,192.168.1.48,192.168.1.45,write,admin,success,21,5093,1,6,1,1,1,0
2025-11-23 01:40:56.539489,192.168.1.29,192.168.1.18,access,user1,failed,22,3861,1,6,1,1,0,1
2025-11-23 01:57:56.539489,192.168.1.13,192.168.1.46,write,user2,success,3306,8440,1,6,1,1,1,0
2025-11-23 02:00:56.539489,192.168.1.16,192.168.1.49,access,user3,success,3306,6067,2,6,1,1,1,0
2025-11-23 02:19:56.539489,192.168.1.45,192.168.1.26,write,user2,success,443,157,2,6,1,1,1,0
2025-11-23 02:24:56.539489,192.168.1.44,192.168.1.49,access,admin,success,3306,2846,2,6,1,1,1,0
2025-11-23 03:00:56.539489,192.168.1.47,192.168.1.40,access,user3,success,3306,2098,3,6,1,1,1,0
2025-11-23 03:28:56.539489,192.168.1.39,192.168.1.45,logout,user3,failed,80,668,3,6,1,1,0,1
2025-11-23 03:29:56.539489,192.168.1.19,192.168.1.18,login,user2,failed,22,3815,3,6,1,1,0,1
2025-11-23 03:45:56.539489,192.168.1.38,192.168.1.33,access,user1,failed,3306,5080,3,6,1,1,0,1
2025-11-23 04:51:56.539489,192.168.1.19,192.168.1.28,access,user3,failed,21,6272,4,6,1,1,0,1
2025-11-23 05:03:56.539489,192.168.1.26,192.168.1.44,read,user3,failed,22,2100,5,6,1,1,0,1
2025-11-23 05:11:56.539489,192.168.1.43,192.168.1.16,access,admin,failed,21,6690,5,6,1,1,0,1
2025-11-23 05:34:56.539489,192.168.1.35,192.168.1.35,read,guest,failed,21,5534,5,6,1,1,0,1
2025-11-23 05:58:56.539489,192.168.1.22,192.168.1.45,login,user3,failed,21,538,5,6,1,1,0,1
2025-11-23 06:06:56.539489,192.168.1.41,192.168.1.40,access,guest,failed,21,9360,6,6,1,0,0,1
2025-11-23 06:14:56.539489,192.168.1.19,192.168.1.38,write,user3,success,21,5842,6,6,1,0,1,0
2025-11-23 06:25:56.539489,192.168.1.48,192.168.1.17,logout,user1,failed,80,7684,6,6,1,0,0,1
2025-11-23 07:28:56.539489,192.168.1.43,192.168.1.42,write,admin,success,3306,9142,7,6,1,0,1,0
2025-11-23 07:44:56.539489,192.168.1.23,192.168.1.33,access,admin,success,21,9757,7,6,1,0,1,0
2025-11-23 08:02:56.539489,192.168.1.14,192.168.1.15,write,user2,success,3306,3566,8,6,1,0,1,0
2025-11-23 08:12:56.539489,192.168.1.19,192.168.1.40,read,user1,success,80,8586,8,6,1,0,1,0
2025-11-23 08:21:56.539489,192.168.1.46,192.168.1.40,access,admin,failed,3306,2781,8,6,1,0,0,1
2025-11-23 08:33:56.539489,192.168.1.45,192.168.1.18,write,guest,success,3306,476,8,6,1,0,1,0
2025-11-23 08:35:56.539489,192.168.1.11,192.168.1.16,access,user2,failed,22,6933,8,6,1,0,0,1
2025-11-23 08:45:56.539489,192.168.1.30,192.168.1.46,login,admin,failed,443,9095,8,6,1,0,0,1
2025-11-23 09:16:56.539489,192.168.1.39,192.168.1.33,write,user2,failed,3306,147,9,6,1,0,0,1
2025-11-23 09:17:56.539489,192.168.1.17,192.168.1.43,access,user2,success,80,1078,9,6,1,0,1,0
2025-11-23 09:18:56.539489,192.168.1.35,192.168.1.12,read,user2,failed,21,7114,9,6,1,0,0,1
2025-11-23 09:22:56.539489,192.168.1.49,192.168.1.35,access,user2,success,80,9890,9,6,1,0,1,0
2025-11-24 00:35:56.539489,192.168.1.19,192.168.1.30,read,admin,success,21,6682,0,0,0,1,1,0
2025-11-24 00:35:56.539489,192.168.1.19,192.168.1.31,access,user3,success,80,6707,0,0,0,1,1,0
2025-11-24 01:26:56.539489,192.168.1.22,192.168.1.41,access,user2,failed,21,8238,1,0,0,1,0,1
2025-11-24 01:32:56.539489,192.168.1.12,192.168.1.31,read,user2,failed,21,9466,1,0,0,1,0,1
2025-11-24 01:54:56.539489,192.168.1.10,192.168.1.30,write,admin,success,443,124,1,0,0,1,1,0
2025-11-24 02:59:56.539489,192.168.1.41,192.168.1.26,write,admin,failed,80,4644,2,0,0,1,0,1
2025-11-24 03:17:56.539489,192.168.1.19,192.168.1.27,write,user1,success,80,219,3,0,0,1,1,0
2025-11-24 03:28:56.539489,192.168.1.49,192.168.1.48,access,guest,failed,3306,868,3,0,0,1,0,1
2025-11-24 04:01:56.539489,192.168.1.10,192.168.1.15,access,user2,success,3306,2115,4,0,0,1,1,0
2025-11-24 04:52:56.539489,192.168.1.48,192.168.1.10,write,admin,success,3306,8682,4,0,0,1,1,0
2025-11-24 05:12:56.539489,192.168.1.48,192.168.1.25,login,user1,failed,3306,5257,5,0,0,1,0,1
2025-11-24 05:16:56.539489,192.168.1.29,192.168.1.48,access,admin,failed,3306,9579,5,0,0,1,0,1
2025-11-24 05:25:56.539489,192.168.1.19,192.168.1.33,read,admin,success,22,263,5,0,0,1,1,0
2025-11-24 05:51:56.539489,192.168.1.37,192.168.1.31,login,user2,success,21,386,5,0,0,1,1,0
2025-11-24 06:20:56.539489,192.168.1.23,192.168.1.12,login,admin,failed,3306,672,6,0,0,0,0,1
2025-11-24 06:28:56.539489,192.168.1.12,192.168.1.49,write,user2,success,22,6699,6,0,0,0,1,0
2025-11-24 06:35:56.539489,192.168.1.16,192.168.1.35,access,user2,failed,443,119,6,0,0,0,0,1
2025-11-24 07:30:56.539489,192.168.1.17,192.168.1.14,write,admin,failed,3306,5237,7,0,0,0,0,1
2025-11-24 07:30:56.539489,192.168.1.39,192.168.1.45,login,user2,failed,3306,3500,7,0,0,0,0,1
2025-11-24 07:34:56.539489,192.168.1.41,192.168.1.32,access,guest,success,3306,1821,7,0,0,0,1,0
2025-11-24 07:55:56.539489,192.168.1.23,192.168.1.10,login,admin,success,3306,1054,7,0,0,0,1,0
2025-11-24 08:17:56.539489,192.168.1.33,192.168.1.17,login,admin,success,3306,335,8,0,0,0,1,0
2025-11-24 08:54:56.539489,192.168.1.10,192.168.1.40,login,user1,success,3306,2469,8,0,0,0,1,0
2025-11-24 08:59:56.539489,192.168.1.34,192.168.1.30,logout,admin,success,443,177,8,0,0,0,1,0
2025-11-24 09:01:56.539489,192.168.1.35,192.168.1.43,access,admin,success,443,9147,9,0,0,0,1,0
2025-11-24 09:20:56.539489,192.168.1.29,192.168.1.13,write,user3,success,21,9703,9,0,0,0,1,0
2025-11-25 01:31:56.539489,192.168.1.41,192.168.1.37,read,user3,failed,80,8646,1,1,0,1,0,1
2025-11-25 02:44:56.539489,192.168.1.48,192.168.1.46,read,guest,failed,21,9600,2,1,0,1,0,1
2025-11-25 03:46:56.539489,192.168.1.48,192.168.1.40,write,admin,success,80,2236,3,1,0,1,1,0
2025-11-25 03:48:56.539489,192.168.1.14,192.168.1.12,access,admin,failed,443,1336,3,1,0,1,0,1
2025-11-25 05:23:56.539489,192.168.1.39,192.168.1.10,logout,admin,success,3306,9293,5,1,0,1,1,0
2025-11-25 05:52:56.539489,192.168.1.48,192.168.1.20,access,user3,failed,21,5717,5,1,0,1,0,1
2025-11-25 06:02:56.539489,192.168.1.48,192.168.1.33,access,user1,success,80,634,6,1,0,0,1,0
2025-11-25 06:22:56.539489,192.168.1.20,192.168.1.47,access,admin,failed,21,7723,6,1,0,0,0,1
2025-11-25 06:36:56.539489,192.168.1.19,192.168.1.46,read,user2,success,3306,5823,6,1,0,0,1,0
2025-11-25 06:50:56.539489,192.168.1.29,192.168.1.16,read,user1,success,21,107,6,1,0,0,1,0
2025-11-25 06:56:56.539489,192.168.1.48,192.168.1.34,login,admin,success,3306,5098,6,1,0,0,1,0
2025-11-25 07:13:56.539489,192.168.1.25,192.168.1.38,login,admin,success,443,127,7,1,0,0,1,0
2025-11-25 07:21:56.539489,192.168.1.16,192.168.1.26,write,admin,success,3306,8003,7,1,0,0,1,0
2025-11-25 08:11:56.539489,192.168.1.47,192.168.1.48,access,user3,success,22,9642,8,1,0,0,1,0
2025-11-25 09:12:56.539489,192.168.1.49,192.168.1.48,access,admin,success,22,7688,9,1,0,0,1,0
2025-11-25 09:14:56.539489,192.168.1.49,192.168.1.42,login,guest,success,3306,129,9,1,0,0,1,0
2025-11-25 09:22:56.539489,192.168.1.48,192.168.1.10,logout,user3,success,443,7967,9,1,0,0,1,0
2025-11-26 00:44:56.539489,192.168.1.48,192.168.1.33,access,user1,failed,80,3467,0,2,0,1,0,1
2025-11-26 00:46:56.539489,192.168.1.49,192.168.1.10,write,guest,success,3306,7440,0,2,0,1,1,0
2025-11-26 00:54:56.539489,192.168.1.10,192.168.1.12,access,user3,failed,3306,8539,0,2,0,1,0,1
2025-11-26 01:21:56.539489,192.168.1.49,192.168.1.13,logout,user3,failed,443,182,1,2,0,1,0,1
2025-11-26 01:45:56.539489,192.168.1.48,192.168.1.45,access,admin,success,22,325,1,2,0,1,1,0
2025-11-26 05:13:56.539489,192.168.1.43,192.168.1.40,access,admin,success,3306,418,5,2,0,1,1,0
2025-11-26 06:13:56.539489,192.168.1.19,192.168.1.47,access,admin,success,80,8239,6,2,0,0,1,0
2025-11-26 07:11:56.539489,192.168.1.48,192.168.1.34,login,user1,success,3306,9216,7,2,0,0,1,0
2025-11-26 07:47:56.539489,192.168.1.39,192.168.1.39,logout,guest,success,3306,8308,7,2,0,0,1,0
2025-11-26 08:39:56.539489,192.168.1.14,192.168.1.43,read,guest,success,3306,2968,8,2,0,0,1,0
2025-11-26 08:39:56.539489,192.168.1.19,192.168.1.39,login,user2,success,21,471,8,2,0,0,1,0
2025-11-26 17:26:56.552491,10.0.0.100,192.168.1.1,login,test,failed,22,77,17,2,0,0,0,1
2025-11-26 17:26:58.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,84,17,2,0,0,0,1
2025-11-26 17:27:00.552491,10.0.0.100,192.168.1.1,login,root,failed,22,181,17,2,0,0,0,1
2025-11-26 17:27:02.552491,10.0.0.100,192.168.1.1,login,user1,failed,22,66,17,2,0,0,0,1
2025-11-26 17:27:04.552491,10.0.0.100,192.168.1.1,login,test,failed,22,84,17,2,0,0,0,1
2025-11-26 17:27:06.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,73,17,2,0,0,0,1
2025-11-26 17:27:08.552491,10.0.0.100,192.168.1.1,login,user1,failed,22,197,17,2,0,0,0,1
2025-11-26 17:27:10.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,100,17,2,0,0,0,1
2025-11-26 17:27:12.552491,10.0.0.100,192.168.1.1,login,test,failed,22,58,17,2,0,0,0,1
2025-11-26 17:27:14.552491,10.0.0.100,192.168.1.1,login,root,failed,22,103,17,2,0,0,0,1
2025-11-26 17:27:16.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,64,17,2,0,0,0,1
2025-11-26 17:27:18.552491,10.0.0.100,192.168.1.1,login,test,failed,22,92,17,2,0,0,0,1
2025-11-26 17:27:20.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,131,17,2,0,0,0,1
2025-11-26 17:27:22.552491,10.0.0.100,192.168.1.1,login,root,failed,22,69,17,2,0,0,0,1
2025-11-26 17:27:24.552491,10.0.0.100,192.168.1.1,login,root,failed,22,154,17,2,0,0,0,1
2025-11-26 17:27:26.552491,10.0.0.100,192.168.1.1,login,test,failed,22,194,17,2,0,0,0,1
2025-11-26 17:27:28.552491,10.0.0.100,192.168.1.1,login,admin,failed,22,104,17,2,0,0,0,1
